ClientName,ProjectTitle,Sector,Postcode,latitude,longitude
KMG Partnership,"2 Creek Road, Barking",Industrial,IG110TA,51.524621,0.099455338
London Borough of Lambeth,Lollard Street,Residential,SE11,51.485536,-0.10969408
Metaform,79-89 Lots Road,Office,SW10ORN,51.478608,-0.184658
Plowman Craven,Phoenix Academy North,Education,WS10OTT,52.555168,-1.990749
Adam Khan Architects,Custom House Sites,Residential,E16,51.507713,0.022805703
Adam Khan Architects,Aquatics Triangle,Residential,E202ZQ,51.54004,-0.010526
Local Authorities Mutual Investment Trust,7 Roundood Avenue,Office,UB111AX,-0.44528949,51.509124
Dover District Council,Kimberley Close,Residential,CT16,51.130714,1.315602
Dover District Council,Stockdale Gardens,Residential,CT17,51.128301,1.3067947
Peabody,Holloway Prison,Residential,N70NU,51.553046,-0.124183
Safestore,"Victoria Road Retail Park, Stoke",Industrial,ST42NG,53.011478,-2.1657
Plowman Craven,Exeter Creative School,Education,EX28YP,50.688393,-3.521855
Ferndown & Uddens BID,Ferndown & Uddens Industrial Estate,Business Park,BH217NL,50.806218,-1.924823
Ktesius,"Gloucester Place, Brighton",Mixed Use,BN14AA,50.826276,-0.13588
Porta Planning,"329 Portland Road, Hove",,BN35SU,50.835496,-0.201509
Pellings,St Anne's Campus,Residential,BN71UE,50.871785,0.00089
Alsford,Alsford Rye,Industrial,TN317HW,50.949096,0.735245
KMG Partnership,Bidfoord Salisbury,Industrial,SP53HY,50.994957,-1.757242
Surrey County Council,Cranleigh CofE Primary School,Education,GU67AN,51.143558,-0.486737
Surrey County Council,Witley CofE Infant School,Education,GU85PN,51.14817,-0.648175
Surrey County Council,Trinity Oaks,Education,RH69NS,51.182148,-0.149203
London Square,The River Centre Tonbridge,Residential,TN91RE,51.194717,0.277462
Surrey County Council,Potters Gate Primary School,Education,GU97BB,51.21401,-0.806887
CBRE,Farnham Retail Park,Retail,GU97BB,51.21401,-0.806887
Cushman and Wakefield,"David Lloyd, Lichfield",Leisure,GU97BB,51.21401,-0.806887
Pellings,Reigate Priory Junior School,Education,RH28BY,51.215694,-0.202399
Womensworld Trust,Spinney Lane Aylesham,Residential,CT154JP,51.21641,1.21175
University of Creative Arts,Farnham Campus,Education,GU97DS,51.216479,-0.805494
University of Creative Arts,UCA Residences,Education,GU97DS,51.216479,-0.805494
Merseyside Pension Fund,Farnham Retail Park,Retail,GU99QJ,51.218514,-0.783878
Hamson Barron Smith,Chart Wood School,Education,RH54DA,51.221543,-0.318196
Pellings,Brooklands SEN,Education,RH28HX,51.225149,-0.207931
Surrey County Council,Earlswood Infant & Nursery School,Education,RH16DZ,51.230968,-0.166181
Surrey County Council,FHES,Education,GU99BN,51.231971,-0.783451
Morgan Sindall ,Ash Manor School,Education,GU126QH,51.239442,-0.728317
